Filename: 1.yml Accuracy: 0.1114 Gain: 11.39% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1733 Gain: 73.27% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1337 Gain: 33.66% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1312 Gain: 31.19% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1163 Gain: 16.34% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1163 Gain: 16.34% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1139 Gain: 13.86% {'num_labels': 10, 'image_size': 28, 'num_iter': 5000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1609 Gain: 60.89% {'num_labels': 10, 'image_size': 28, 'num_iter': 2500, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1188 Gain: 18.81% {'num_labels': 10, 'image_size': 28, 'num_iter': 2500, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1832 Gain: 83.17% {'num_labels': 10, 'image_size': 28, 'num_iter': 2500, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1485 Gain: 48.51% {'num_labels': 10, 'image_size': 28, 'num_iter': 2500, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1114 Gain: 11.39% {'num_labels': 10, 'image_size': 28, 'num_iter': 2500, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1411 Gain: 41.09% {'num_labels': 10, 'image_size': 28, 'num_iter': 2500, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1881 Gain: 88.12% {'num_labels': 10, 'image_size': 28, 'num_iter': 2500, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1287 Gain: 28.71% {'num_labels': 10, 'image_size': 28, 'num_iter': 2500, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1163 Gain: 16.34% {'num_labels': 10, 'image_size': 28, 'num_iter': 2500, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1510 Gain: 50.99% {'num_labels': 10, 'image_size': 28, 'num_iter': 2500, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1040 Gain: 3.96% {'num_labels': 10, 'image_size': 28, 'num_iter': 2500, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1485 Gain: 48.51% {'num_labels': 10, 'image_size': 28, 'num_iter': 5000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1064 Gain: 6.44% {'num_labels': 10, 'image_size': 28, 'num_iter': 5000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1386 Gain: 38.61% {'num_labels': 10, 'image_size': 28, 'num_iter': 5000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1931 Gain: 93.07% {'num_labels': 10, 'image_size': 28, 'num_iter': 5000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1782 Gain: 78.22% {'num_labels': 10, 'image_size': 28, 'num_iter': 5000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1163 Gain: 16.34% {'num_labels': 10, 'image_size': 28, 'num_iter': 5000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1238 Gain: 23.76% {'num_labels': 10, 'image_size': 28, 'num_iter': 5000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 64}
Filename: 1.yml Accuracy: 0.1436 Gain: 43.56% {'num_labels': 10, 'image_size': 28, 'num_iter': 5000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 64}
Filename: 1.yml Accuracy: 0.1114 Gain: 11.39% {'num_labels': 10, 'image_size': 28, 'num_iter': 5000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 8}
Filename: 1.yml Accuracy: 0.1089 Gain: 8.91% {'num_labels': 10, 'image_size': 28, 'num_iter': 5000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 1}
Filename: 1.yml Accuracy: 0.1658 Gain: 65.84% {'num_labels': 10, 'image_size': 32, 'num_iter': 5000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1485 Gain: 48.51% {'num_labels': 10, 'image_size': 16, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1064 Gain: 6.44% {'num_labels': 10, 'image_size': 16, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1015 Gain: 1.49% {'num_labels': 10, 'image_size': 16, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
